time(s),A,B,C,D
209,296,-82,-282,-112
210,-206,49,-272,109
211,-129,70,-24,291
212,-200,262,75,-94
213,-118,168,-101,20
214,16,-180,263,242
215,-66,-229,-67,76
216,-81,-100,-198,121
217,290,117,20,17
218,14,-139,-179,-89
219,-68,140,70,52
220,-93,-1,165,-212
221,236,259,-242,-145
222,205,-94,27,-44
223,-18,175,297,91
224,272,-196,74,288
225,88,-165,49,-288
226,147,-202,67,275
227,-4,66,-113,217
228,297,136,-16,117
229,147,1,144,-176
230,-71,105,-53,140
231,257,-60,-278,89
232,-11,-71,91,-207
233,81,184,52,155
234,-45,-94,-46,175
235,-283,-276,-33,-259
236,-37,-121,-74,-160
237,-124,8,-42,80
238,254,164,-252,35
239,0,285,40,31
240,-158,-169,298,-227
241,15,-123,-267,-156
242,288,51,220,-82
243,-83,-38,198,-78
244,-276,6,72,-185
245,-199,276,-111,212
246,91,239,-78,-95
247,-150,87,288,137
248,274,132,229,-115
249,45,-79,249,33
250,202,-79,-284,121
251,-259,-156,-167,3
252,141,264,-235,-236
253,-39,11,8,-240
254,-125,287,-282,167
255,286,277,299,144
256,281,90,173,-194
257,146,8,52,58
258,-200,-255,3,-300
259,-291,157,275,-181
260,-262,-49,-155,-208
261,-83,187,7,138
262,-104,191,-43,-279
263,-47,159,-241,-85
264,-216,-125,230,177
265,-221,-221,-19,-213
266,144,186,295,-133
267,-55,199,151,-131
268,45,136,-273,154
269,-292,-153,152,160
270,116,148,267,-155
271,-92,-197,-274,262
272,215,-208,-233,-222
273,59,-290,-103,-180
274,-142,69,98,-55
275,-224,19,233,-157
276,129,5,212,-191
277,-133,83,-268,-151
278,-255,-292,164,205
279,-95,120,139,233
280,288,244,168,-46
281,-144,20,221,289
282,-30,-192,121,275
283,159,-28,-240,-154
284,-130,229,-212,104
285,-250,-261,-223,-207
286,-15,-36,-161,-199
287,208,-97,36,98
288,128,74,-121,30
289,-161,245,180,92
290,208,138,61,5
291,-33,-93,-87,190
292,162,-236,-7,110
293,-64,-1,271,-65
294,262,-220,217,-170
295,178,289,203,-276
296,-194,-206,235,-191
297,-90,-92,-166,167
298,-39,190,-11,-208
299,-33,-212,151,-113
300,-232,189,-209,199
301,186,-275,-35,-34
302,-195,145,-136,53
303,268,133,194,134
304,-36,-242,-35,278
305,-169,-294,-47,-65
306,52,-267,-1,-248
307,65,239,23,22
308,10,78,207,-238
309,206,54,-69,229
310,-198,-91,187,243
311,-77,55,-140,270
312,-294,-214,-128,155
313,-150,224,181,297
314,187,-70,8,-7
315,-148,129,-71,-100
316,-255,-234,53,-52
317,-31,-161,-223,-135
318,-186,251,55,136
319,118,-262,-271,-247
320,109,26,197,225
321,-128,19,70,-212
322,-181,260,126,243
323,-58,263,-56,-120
324,261,64,225,244
325,-262,148,206,-86
326,-37,38,-111,-275
327,139,289,-76,18
328,-272,-55,-265,6
329,-265,-91,173,165
330,-2,54,173,-260
331,-195,-159,-160,278
332,279,82,-148,113
333,-129,48,111,0
334,-277,219,-109,-45
335,198,-7,137,263
336,-150,-108,-170,64
337,-188,280,145,-243
338,16,132,-143,275
339,78,-149,-65,-48
340,277,222,-135,-37
341,-259,81,-44,-84
342,-9,69,-195,56
343,-161,-200,271,-172
344,108,-126,-113,153
345,-295,267,-166,34
346,16,-202,90,160
347,-291,236,-266,42
348,-39,112,31,-82
349,231,230,189,-28
350,127,6,44,-127
351,-52,129,59,282
352,-181,-153,-182,-89
353,-275,-93,16,-140
354,-11,-26,172,103
355,-109,129,241,-69
356,134,-38,-42,232
357,176,194,-291,-73
358,148,-135,4,-118
359,237,290,99,-15
360,-188,-117,284,-194
361,228,233,-26,-172
362,192,-250,-281,137
363,286,-22,-87,-64
364,265,-137,-149,-197
365,4,-184,73,-233
366,-281,-50,-299,216
367,-153,-146,-81,120
368,-291,4,-93,-154
369,144,-160,-229,79
370,261,-41,-122,-155
371,23,286,-287,-214
372,24,-18,98,87
373,235,-146,-129,132
374,270,-80,-232,128
375,114,-269,-191,-14
376,-15,297,-228,-229
377,142,-79,144,125
378,-94,269,-192,-67
379,58,-150,-228,-76
380,267,-203,-269,-137
381,-282,-208,224,-8
382,-44,-130,-215,66
383,-24,-96,-91,-211
384,-282,182,30,60
385,-1,247,206,132
386,115,50,-60,-175
387,-298,-48,168,172
388,-271,-2,-194,56
389,108,182,252,-150
390,240,-266,58,103
391,279,185,34,-291
392,-294,68,231,290
393,134,-64,199,-226
394,45,-279,98,-186
395,44,-295,-38,167
396,150,24,-168,-83
397,141,-165,56,141
398,-85,-169,256,81
399,98,-87,-189,-137
400,229,123,-129,27
401,274,-115,47,174
402,116,271,-51,93
403,3,-190,56,-24
404,-175,292,154,-3
405,-71,266,77,229
406,130,-136,76,-114
407,58,173,-278,288
408,-18,-291,14,253
409,-36,-145,159,-227
410,54,-217,274,290
411,-298,258,17,-6
412,-11,-229,-56,-72
413,191,62,-51,296
414,246,13,-231,262
415,294,152,-37,60
416,-254,-96,159,-170
417,-131,-28,-244,-58
418,-84,277,157,2
419,-30,164,-261,173
420,193,77,-274,-156
421,197,-241,173,171
422,115,156,-296,70
423,-96,179,234,-93
424,-32,-121,-135,93
425,-175,210,243,97
426,-157,32,-277,-51
427,285,34,-290,114
428,6,-41,-69,-220
429,-102,-134,158,-139
430,-273,129,291,-238
431,97,-200,152,3
432,-123,8,261,-3
433,-153,-154,227,103
434,191,-14,171,-103
435,241,-257,-35,-86
436,-124,-25,189,25
437,-2,-132,29,137
438,-141,240,106,66
439,149,112,-111,-251
440,149,-103,97,-30
441,-110,206,267,257
442,-249,-151,155,-29
443,210,141,-169,-196
444,35,95,257,202
445,-98,-187,112,4
446,-277,213,116,-72
447,-192,-265,237,216
448,-91,-155,104,191
449,7,38,-41,193
450,-81,-100,251,208
451,41,-250,-53,109
452,-155,184,34,144
453,-277,-83,134,68
454,-126,-71,82,-53
455,58,108,-279,38
456,249,-148,226,299
457,68,54,38,-191
458,-241,4,-290,-89
459,-274,-129,235,-71
460,227,-52,-167,137
461,118,20,-257,-260
462,-297,293,133,136
463,-82,-171,40,-105
464,173,-185,-211,186
465,196,-52,-41,229
466,-13,41,174,147
467,-179,142,-14,103
468,7,-162,149,231
469,-147,-299,-207,-119
470,-21,2,288,-48
471,-141,-15,-67,32
472,-299,-159,-84,229
473,-270,229,-195,221
474,36,-142,-189,201
475,-70,-162,-281,43
476,43,-230,77,-296
477,-296,-56,184,-167
478,-200,-139,-78,-258
479,113,114,-270,84
480,92,-276,139,35
481,16,-95,269,-101
482,-134,-23,51,280
483,56,-24,-224,102
484,239,-47,161,173
485,-34,274,-109,-74
486,-218,108,-116,107
487,-8,109,-95,76
488,-224,-260,134,289
489,-141,112,150,132
490,87,251,-143,-9
491,-272,109,55,161
492,4,-262,11,64
493,220,296,20,-224
494,-46,4,65,-125
495,253,39,-108,60
496,-196,36,198,28
497,115,43,76,-203
498,180,-158,80,36
499,-238,-242,-193,235
500,93,-58,-234,8
501,-203,-40,-21,-91
502,-249,185,-258,257
503,-98,-57,46,-20
504,62,-220,-235,269
505,133,-259,-35,251
506,-46,-96,298,40
507,77,-118,6,26
508,-38,-92,-291,111
509,-235,-194,-46,-15
510,-197,290,182,-97
511,-156,-174,-277,-122
512,-230,-95,-62,-265
513,-19,-139,-74,-231
514,-67,254,253,15
515,-137,213,-182,-124
516,-250,250,-205,-114
517,29,191,-247,102
518,-215,-264,-155,194
519,107,145,50,-65
520,236,10,-72,208
521,79,171,-76,190
522,14,-31,-182,197
523,195,-169,20,-50
524,-139,-51,283,162
525,-122,197,95,98
526,-2,-38,-276,167
527,-144,57,-277,-55
528,-152,221,-287,293
529,66,260,-18,-180
530,-252,-4,-295,-48
531,-89,-21,213,151
532,165,45,-108,-294
533,42,-114,193,-197
534,182,16,152,-19
535,-133,60,-281,80
536,-83,183,289,-142
537,266,-151,-133,-234
538,167,117,-235,207
539,46,-114,-96,283
540,-95,77,-134,168
541,-125,-127,-56,-245
542,-65,-59,-276,-74
543,289,5,-241,217
544,14,82,290,233
545,5,-193,219,-39
546,299,-179,275,-77
547,35,-167,274,-173
548,233,158,141,-276
549,188,-90,-9,-234
550,78,-161,9,-268
551,-153,-17,-107,-161
552,-203,-229,-29,32
553,92,-140,-70,264
554,-40,-208,103,91
555,-146,-89,-154,-94
556,-185,-101,62,-94
557,236,27,-175,124
558,-52,-119,-111,-156
559,174,154,75,107
560,187,102,-263,-63
561,-21,226,-56,-30
562,-90,168,284,30
563,-87,39,106,-164
564,-209,-182,289,-127
565,227,77,-248,42
566,-123,-197,48,-160
567,-187,-86,-145,261
568,217,207,-100,-63
569,268,86,-79,49
570,75,181,-276,-66
571,269,-242,-186,259
572,24,-189,-260,252
573,25,-130,255,287
574,71,-81,291,24
575,87,266,115,80
576,-218,250,-291,-144
577,264,12,217,-52
578,16,195,92,17
579,123,264,-4,266
580,-35,211,-35,-17
581,-150,283,-189,132
582,-286,170,-246,122
583,-282,-163,32,-172
584,227,234,-133,197
585,188,-200,-52,-11
586,67,276,284,-14
587,257,158,235,243
588,74,160,119,-184
589,100,-80,99,2
590,38,-240,-72,-94
591,169,152,155,-167
592,-44,209,-232,1
593,0,58,-266,-116
594,-206,117,227,-253
595,-136,22,-32,-264
596,119,69,-180,-195
597,-269,247,-48,247
598,176,-294,-199,-209
599,225,-82,122,-294
600,225,-158,-269,-62
601,-75,-182,-160,54
602,-153,-66,5,149
603,118,119,98,5
604,-219,89,-198,-21
605,111,172,251,-132
606,-82,242,30,248
607,212,174,229,-211
608,-188,118,113,-71
609,85,206,119,-223
610,-289,193,186,-199
611,237,-256,-202,-81
612,-123,-44,104,-249
613,235,-132,-272,122
614,90,133,271,-13
615,-261,-271,148,124
616,176,41,-56,54
617,-48,299,111,48
618,-50,-70,-163,118
619,-51,-272,-38,32
620,210,-102,204,-275
621,-161,167,17,35
622,41,-249,-48,152
623,-182,143,-216,287
624,-95,-82,174,246
625,-296,42,-174,9
626,-145,-89,126,92
627,-74,-60,67,291
628,239,-280,163,-256
629,-230,-178,-20,112
630,260,-26,-278,-3
631,-282,80,-38,22
632,-42,12,106,296
633,-100,291,-293,296
634,275,170,-89,159
635,206,278,243,-218
636,202,-128,38,212
637,134,-223,-56,-70
638,70,-193,-3,-6
639,165,-202,71,-233
640,-61,-266,-207,-229
641,-44,-290,242,-134
642,89,-180,-188,264
643,7,41,178,-207
644,-86,221,-262,286
645,-95,185,-256,-274
646,248,-160,201,-268
647,121,-115,191,-228
648,-106,39,234,23
649,293,-122,-61,-199
650,-115,-105,185,-235
651,42,-294,37,-299
652,-120,-9,218,-206
653,-154,-242,231,200
654,58,76,31,187
655,148,6,-128,-251
656,267,-107,-238,143
657,-271,70,-262,-103
658,-35,82,-115,252
659,245,-195,-122,-14
660,-209,-153,45,-164
661,243,56,45,-138
662,275,-131,-108,257
663,-120,-186,-88,10
664,76,-287,191,-82
665,-180,-160,-266,-174
666,-147,-127,-174,-51
667,-292,-248,-294,275
668,-123,174,167,113
669,-131,201,-224,40
670,108,138,-61,283
671,169,155,164,74
672,-204,76,135,266
673,265,-36,243,224
674,-237,252,-154,51
675,179,98,-123,212
676,13,131,-74,264
677,274,-5,-117,-142
678,-267,112,-101,134
679,-168,161,204,-270
680,-298,-162,125,250
681,-31,177,-207,-217
682,125,-259,-255,-280
683,139,280,-51,233
684,-288,-266,-262,227
685,109,205,230,-20
686,-122,162,208,-221
687,154,-75,-160,-105
688,296,255,-139,-220
689,-75,-38,188,297
690,147,-136,-140,-74
691,236,-266,111,-71
692,80,142,-257,-161
693,-285,-196,-129,-178
694,11,-245,88,-73
695,-66,-68,-197,-128
696,147,285,214,41
697,215,-253,-149,142
698,-93,-182,151,51
699,-69,268,-165,276
700,179,127,51,32
701,-248,-239,285,219
702,104,-270,290,-67
703,18,-65,144,-218
704,-18,-86,279,-66
705,144,92,-16,186
706,213,25,75,199
707,8,182,253,25
708,271,-73,-226,141
709,196,218,142,-133
710,211,-288,-164,-29
711,-63,75,-9,-240
712,-183,-100,-137,156
713,86,-251,48,-99
714,-124,239,39,3
715,173,1,122,-122
716,-228,285,76,200
717,-139,55,-222,-120
718,-67,60,36,-188
719,43,-81,-212,294
720,-168,-297,51,150
721,133,253,-178,158
722,263,-225,-63,-87
723,-52,-272,-283,-24
724,282,-4,-18,-90
725,112,-8,34,-221
726,-294,32,-238,109
727,105,136,290,-4
728,-16,41,-102,-27
729,-283,59,-273,-220
730,285,181,217,261
731,253,-108,-237,-278
732,-236,-76,15,-161
733,-161,182,-93,162
734,-125,289,40,-205
735,157,245,230,-231
736,-278,1,289,-30
737,220,-103,-177,-100
738,-113,-259,118,-285
739,-191,106,-167,2
740,145,-218,-22,94
741,-178,270,-70,152
742,-215,-254,287,55
743,-192,-32,187,-119
744,275,-167,-30,290
745,241,-217,-91,148
746,-250,269,70,-291
747,-129,-15,195,-181
748,-179,116,221,-214
749,66,42,-88,22
750,197,-248,185,247
751,119,-248,60,137
752,178,-8,265,280
753,-185,267,-285,189
754,-283,226,-79,-238
755,-179,-50,125,193
756,-222,-64,150,187
757,-236,130,-278,232
758,-267,-141,-105,31
759,-260,175,161,86
760,120,235,-121,-184
761,-137,-216,133,-156
762,-155,-274,-95,73
763,36,242,-85,258
764,-265,-153,205,-77
765,-156,230,-219,-5
766,-84,43,247,169
767,-150,19,246,38
768,-26,72,100,115
769,106,241,-165,-133
770,108,38,-5,291
771,248,-80,153,-165
772,-190,-296,96,8
773,-242,4,-246,29
774,-34,237,190,-69
775,221,170,252,-274
776,-231,268,127,285
777,-117,238,150,-27
778,-284,-58,83,137
779,-41,218,197,-96
780,-188,-57,148,108
781,-274,-214,50,80
782,53,-238,123,44
783,-64,-127,40,41
784,-212,164,153,-207
785,-239,47,-42,93
786,195,-82,-61,-295
787,-239,268,107,67
788,-44,152,82,-253
789,-99,-181,30,245
790,244,53,266,71
791,255,-126,127,229
792,284,-49,-84,197
793,-97,263,172,-205
794,130,-115,137,-257
795,-110,-190,106,217
796,-85,-166,-188,-32
797,59,-262,1,131
798,-300,125,137,115
799,16,295,42,-60
800,32,-203,-247,173
801,213,-203,281,-111
802,103,163,254,267
803,-237,-187,28,-5
804,97,70,149,-296
805,-260,146,-256,210
806,185,-194,186,-277
807,41,240,-40,71
808,94,154,262,173
809,232,-151,44,86
810,212,-169,243,214
811,-87,-79,33,-281
812,-115,100,-275,98
813,0,65,142,27
814,-262,177,155,-79
815,-185,-167,-277,-127
816,257,1,-1,243
817,21,-243,155,-279
818,165,194,174,-120
819,-225,105,-192,-255
820,247,106,75,-152
821,-233,-46,-47,-5
822,-88,-116,280,-148
823,-231,-84,294,74
824,179,-3,-219,44
825,-159,100,-125,265
826,-105,-74,-161,132
827,-228,111,-171,-191
828,-99,216,169,111
829,-13,219,-265,139
830,-287,117,63,157
831,159,294,61,-196
832,-215,89,-35,118
833,88,271,285,238
834,-258,151,124,116
835,227,-254,-122,-209
836,221,151,224,83
837,-168,161,-73,13
838,230,6,-141,-169
839,165,-134,195,-126
840,1,2,-72,-49
841,228,-170,-15,61
842,106,179,134,194
843,141,98,-103,194
844,140,53,85,57
845,-258,-177,219,-98
846,286,-30,7,254
847,-282,95,55,-201
848,-22,51,-267,147
849,-46,-243,-136,-75
850,270,-284,-116,-3
851,234,213,-230,210
852,148,19,-263,-127
853,40,-132,-182,-47
854,183,-151,120,276
855,-266,137,-63,21
856,-113,168,59,-218
857,-148,-267,-160,133
858,-45,-15,119,-142
859,60,-256,54,212
860,24,-178,-43,111
861,159,118,103,-196
862,-266,110,53,-281
863,-28,212,262,-186
864,51,12,-80,-183
865,139,162,290,126
866,-83,-265,175,142
867,196,288,-14,-71
868,-213,-248,138,48
869,-92,-62,-233,8
870,-121,124,-198,-111
871,-83,-117,-20,262
872,255,266,172,26
873,-28,103,49,-151
874,-201,-187,-274,60
875,-281,-233,279,-260
876,37,210,262,-273
877,-164,-175,-245,149
878,-267,202,-11,-107
879,-128,289,-253,-282
880,-256,1,-20,6
881,147,246,297,-99
882,276,293,-100,285
883,207,-122,244,-94
884,-10,-278,153,57
885,-124,-200,210,-118
886,-267,24,260,-101
887,-75,-37,199,133
888,93,-214,-300,95
889,-15,124,2,-243
890,-251,160,185,-264
891,-69,108,-99,-97
892,176,-276,-252,-38
893,192,-130,28,-140
894,-159,166,154,-62
895,81,26,218,-226
896,292,263,-200,-201
897,-176,-50,140,-287
898,88,196,166,-234
899,-121,132,72,-83
900,-8,-114,-234,-85
901,108,-148,114,140
902,-66,-142,127,217
903,-294,68,226,-44
904,70,121,-196,109
905,98,-179,135,68
906,211,-291,-296,0
907,-98,-159,-218,174
908,151,-293,-170,64
909,-232,249,-220,-5
910,-169,-38,17,254
911,228,201,-202,-203
912,-64,-12,-77,-104
913,91,118,-252,281
914,251,46,195,110
915,171,-298,-278,-85
916,-235,121,-221,-212
917,-119,71,-235,248
918,259,87,298,-122
919,176,230,-104,-258
920,-10,-61,-85,214
921,77,217,268,-213
922,284,-115,198,190
923,4,105,73,46
924,38,123,120,128
925,-92,-58,-196,-47
926,272,254,51,-43
927,-75,152,219,-54
928,-208,-106,-49,-130
929,245,-37,-290,50
930,16,42,-202,153
931,-45,-261,225,-139
932,-35,98,47,-15
933,-243,267,35,201
934,-96,24,-270,240
935,-242,-5,69,137
936,25,76,129,240
937,-133,-294,-121,254
938,-207,204,-49,-146
939,-59,215,105,73
940,-221,184,-183,44
941,123,-121,281,289
942,65,217,-124,205
943,261,133,-2,-273
944,22,-131,37,-155
945,254,204,-229,172
946,-103,-55,282,-199
947,92,-256,-35,-240
948,-1,-43,223,-250
949,286,-37,-91,268
950,-138,81,76,216
951,180,17,-241,204
952,-216,-206,-156,-156
953,-206,245,7,-55
954,136,-34,177,-126
955,-298,82,-15,53
956,-54,141,-256,200
957,102,171,-156,-254
958,145,-182,77,-222
959,79,194,207,33
960,-25,-246,-76,55
961,224,174,-222,152
962,-249,12,-199,29
963,-220,-113,214,-58
964,273,76,40,-76
965,3,-128,-284,-190
966,276,-227,-55,262
967,-111,-261,-133,-206
968,-1,106,-117,183
969,-53,-171,293,255
970,178,-23,121,49
971,-187,-147,-79,90
972,101,231,115,-212
973,-233,4,255,-228
974,1,205,109,-233
975,-238,210,228,-4
976,123,-24,-288,94
977,-187,3,80,-137
978,-31,99,-122,80
979,275,-118,-204,-292
980,82,84,210,-100
981,-25,286,-155,87
982,-205,207,110,-73
983,247,-144,-124,-266
984,-278,14,-241,-231
985,-198,35,96,21
986,-8,-231,-146,-207
987,-188,-213,125,-161
988,-47,-22,-284,108
989,-167,263,20,203
990,-261,-221,68,-66
991,232,177,-32,-286
992,256,89,70,-185
993,-250,236,244,144
994,144,242,-201,123
995,-211,-212,-273,-230
996,145,299,-53,-234
997,-133,-232,-67,-61
998,230,73,75,-80
999,165,249,-180,-232
1000,298,15,-9,203
1001,108,237,278,127
1002,-232,-234,-16,-169
1003,218,74,-120,-9
1004,-207,110,-63,-198
1005,298,-54,22,197
1006,-102,278,-99,-92
1007,-118,-34,-147,-33
1008,-298,-273,-31,274
1009,-73,248,266,203
1010,286,21,131,46
1011,-262,194,276,10
1012,279,213,-80,59
1013,24,-56,-15,249
1014,153,-227,144,-134
1015,-101,-228,-174,-27
1016,227,205,136,13
1017,-66,45,-293,-128
1018,30,-11,170,297
1019,21,-55,-61,-57
1020,-104,-284,-5,-77
1021,166,-6,130,99
1022,-94,244,-266,4
1023,-252,-163,111,-159
1024,-136,-288,12,-20
1025,156,164,-136,-176
1026,14,105,123,128
1027,-262,-134,-51,11
1028,-73,-156,-76,149
1029,45,-175,198,155
1030,244,24,-217,120
1031,262,162,-220,-134
1032,217,102,203,105
1033,165,-291,-212,197
1034,71,45,-21,126
1035,230,34,-47,234
1036,-60,99,189,65
1037,-22,-73,33,242
1038,-219,-253,-71,0
1039,-289,-30,-99,191
1040,223,277,-260,200
1041,-222,108,-114,298
1042,158,57,-238,-95
1043,134,-231,-243,-156
1044,258,-46,159,-28
1045,-111,-144,1,-110
1046,151,228,27,217
1047,-159,33,-74,-63
1048,-278,-222,-112,110
1049,-256,70,26,-40
1050,-77,-197,144,181
1051,-246,-249,-187,257
1052,87,-191,-208,-98
1053,180,-12,239,108
1054,-201,-154,42,-139
1055,-226,63,168,-190
1056,38,-185,-178,-258
1057,-142,188,-70,-12
1058,-24,-82,-96,-227
1059,-222,-17,31,-162
1060,-89,202,-62,125
1061,-254,260,255,37
1062,-151,34,280,142
1063,-97,-194,228,52
1064,130,222,-141,157
1065,172,34,157,-295
1066,27,-292,196,84
1067,103,-155,157,29
1068,21,-15,-96,93
1069,-213,-126,163,-114
1070,-235,-277,-162,-214
1071,123,197,87,-224
1072,219,4,230,-283
1073,281,153,-149,117
1074,83,119,-56,155
1075,-150,-168,-276,-151
1076,-5,-111,-222,-275
1077,6,-106,147,106
1078,-177,-280,88,167
1079,130,196,59,-201
1080,-63,214,-92,-190
1081,-8,273,102,-109
1082,95,-9,5,187
1083,-141,-81,38,237
1084,-95,161,-244,189
1085,4,79,-137,134
1086,-118,-209,-105,-36
1087,-40,-116,-53,-255
1088,-188,-227,4,90
1089,38,-43,-74,-244
1090,229,230,-31,-176
1091,-18,54,-256,224
1092,168,259,204,-181
1093,-180,-160,-283,-114
1094,-145,170,190,184
1095,-294,-16,-8,-34
1096,-115,-269,166,-86
1097,241,-13,-116,58
1098,96,-155,76,-282
1099,-220,-161,-136,-156
1100,-50,67,285,-10
1101,209,299,-59,-210
1102,28,121,25,18
1103,-98,66,243,252
1104,-208,-131,-79,164
1105,-178,37,105,176
1106,99,172,-292,291
1107,-226,-201,224,-195
1108,-214,189,241,287
1109,-38,-253,242,77
1110,-217,-45,-99,296
1111,24,-174,-153,236
1112,-295,-69,-128,123
1113,-189,-239,171,-99
1114,-297,80,-6,160
1115,47,-94,-199,153
1116,-139,203,-280,202
1117,-132,-17,238,126
1118,270,260,-272,266
1119,240,85,40,267
1120,128,-76,66,245
1121,26,-62,-197,88
1122,-215,-97,-236,-287
1123,116,-194,131,159
1124,-279,-167,-289,-224
1125,299,-69,52,279
1126,217,-79,-72,-188
1127,-65,139,-189,-213
1128,-34,-104,119,157
1129,82,-226,72,-199
1130,40,219,-284,30
1131,-59,-151,161,-31
1132,101,-294,-157,230
1133,27,127,262,32
1134,13,218,-5,89
1135,25,-112,143,-187
1136,-277,279,-82,-15
1137,35,-98,-273,-208
1138,61,83,-152,236
1139,268,-265,187,129
1140,98,-6,-28,89
1141,77,64,-45,270
1142,204,-96,85,-206
1143,281,75,-280,30
1144,38,-113,-113,213
1145,29,64,-151,134
1146,200,-10,177,-84
1147,269,-233,-129,-258
1148,182,-71,152,-82
1149,203,-234,-167,-229
1150,175,73,-264,-162
